row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
1	2023-04-01	892461	22:28:00	Pedestrian	1	NA	FALSE	FALSE	1	Providence Place	Harris Ave	2023-04-01	One-Way Trafficway	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.82779	-71.41904	FALSE	FALSE	Providence Place and Harris Ave, Providence, RI, USA	FALSE	-71.4190148	41.827801	intersection	geometric_center	providence pl & harris ave, providence, ri 02903, usa	NA	NA	NA	NA	41.827801	-71.4190148	2.422593077511502
2	2023-04-04	892611	15:37:00	Pedestrian	1	NA	FALSE	FALSE	1	GANO ST	ANGELL ST	2023-04-04	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Non-Incapacitating	NA	41.82957	-71.39097	FALSE	FALSE	Gano Street and Angell Street, Providence, RI, USA	FALSE	-71.3909687	41.8295909	intersection	geometric_center	gano st & angell st, providence, ri 02906, usa	NA	NA	NA	NA	41.8295909	-71.3909687	2.329074911130264
3	2023-04-06	892716	13:12:00	Pedestrian	1	NA	FALSE	FALSE	1	PLEASANT ST	DAGGETT CT	2023-04-06	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.83923	-71.40849	FALSE	FALSE	Pleasant Street and Daggett Ct, Providence, RI, USA	FALSE	-71.4077254	41.839318	route	geometric_center	daggett ct, providence, ri 02906, usa	Pleasant Street & Daggett Ct, Providence, RI, USA	EjFQbGVhc2FudCBTdHJlZXQgJiBEYWdnZXR0IEN0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJcSMIQOBE5IkRLfFQA4SUCqoSFAoSCXEjCEDgROSJES3xUAOElAqqGhQKEgkP7NS230TkiRGNT_QNMMYGDhoUChIJvT4cPuBE5IkRX1ZpMt79zKkiCg1cLPAYFboLcNU	41.839318	-71.40772539999999	41.839318	-71.40772539999999	64.16440577920197
4	2023-04-08	892777	02:07:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	BROAD ST	2023-04-08	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Complains Of Pain	NA	41.79151	-71.40636	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	FALSE	-71.4101636	41.7945838	route	geometric_center	broad st, providence, ri, usa	NA	NA	NA	NA	41.7945838	-71.4101636	465.5498882706233
5	2023-04-10	892838	16:07:00	Bicycle	NA	1	FALSE	FALSE	1	CHARLES ST.	CHARLES ST	2023-04-10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.85302	-71.42041	FALSE	FALSE	Charles St. and Charles Street, Providence, RI, USA	FALSE	-71.419539	41.8474982	route	geometric_center	charles st, providence, ri, usa	NA	NA	NA	NA	41.8474982	-71.419539	618.9125107686419
6	2023-04-11	892862	22:31:00	Pedestrian	1	NA	FALSE	FALSE	1	BROADWAY	KNIGHT ST	2023-04-11	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Complains Of Pain	NA	41.81979	-71.42938	FALSE	FALSE	Broadway and Knight Street, Providence, RI, USA	FALSE	-71.4298401	41.8202496	route	geometric_center	knight st, providence, ri, usa	Broadway & Knight Street, Providence, RI, USA	Ei1Ccm9hZHdheSAmIEtuaWdodCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmvZYGEdUXkiRHAVmwJ-u4XKRIUChIJr2WBhHVF5IkRwFZsCfruFykaFAoSCaW15YZ1ReSJERrCM7HXpG-zGhQKEgkPqvF6dUXkiRGsZxyELkktfCIKDcQy7RgVV79s1Q	41.8198212	-71.4293417	41.8198212	-71.4293417	4.7072975971076305
7	2023-04-12	892888	09:43:00	Pedestrian	1	NA	FALSE	FALSE	1	880 BROAD ST	OXFORD ST	2023-04-12	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	1	Complains Of Pain	NA	41.80019	-71.41713	TRUE	FALSE	880 Broad Street, Providence, RI, USA	FALSE	-71.41674019999999	41.8002253	premise	rooftop	880 broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.8002253	-71.41674019999999	32.585647522211126
8	2023-04-12	892906	18:53:00	Pedestrian	1	NA	FALSE	FALSE	2	Broad St	Byfield St	2023-04-12	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	3	Non-Incapacitating	NA	41.79442	-71.40988	FALSE	FALSE	Broad Street and Byfield Street, Providence, RI, USA	FALSE	-71.4099252	41.7943903	intersection	geometric_center	byfield st & broad st, providence, ri 02905, usa	NA	NA	NA	NA	41.7943903	-71.4099252	5.000309944156032
9	2023-04-14	893000	23:06:00	Pedestrian	1	NA	FALSE	FALSE	1	FILLMORE ST	ADMIRAL ST	2023-04-15	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Non-Incapacitating	NA	41.84081	-71.41986	FALSE	FALSE	Fillmore Street and Admiral Street, Providence, RI, USA	FALSE	-71.41986419999999	41.8408412	intersection	geometric_center	admiral st & fillmore st, providence, ri 02908, usa	NA	NA	NA	NA	41.8408412	-71.41986419999999	3.4905906284221766
10	2023-04-15	893010	13:44:00	Pedestrian	1	NA	TRUE	FALSE	1	FOREST ST	CAMP ST	2023-04-15	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Non-Incapacitating	NA	41.84377	-71.40141	FALSE	FALSE	Forest Street and Camp Street, Providence, RI, USA	FALSE	-71.402865	41.8421404	route	geometric_center	camp st, providence, ri, usa	Forest Street & Camp Street, Providence, RI, USA	EjBGb3Jlc3QgU3RyZWV0ICYgQ2FtcCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgn9EI5b3ETkiRGAth2nkh3ymRIUChIJ_RCOW9xE5IkRgLYdp5Id8pkaFAoSCRFQ34_bROSJEQIl3CPw4hkJGhQKEgktQu-DzkTkiRGJ8rTgKkmS4CIKDd7i8BgVb-Vw1Q	41.8439902	-71.4021521	41.8439902	-71.4021521	66.24386499790131
