row_number	crash_date	crash_report_id	crash_time	type_of_collision	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_vehicles	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
35	2025-06-29	925595	09:41:00	Vehicle - Pedestrian	Pedestrian	BROADWAY	KNIGHT ST	2025-06-29	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	3	1	Non-Incapacitating	1	NA	41.8198	-71.42933	FALSE	FALSE	Broadway and Knight Street, Providence, RI, USA	FALSE	-71.4298422	41.8202494	route	geometric_center	knight st, providence, ri, usa	Broadway & Knight Street, Providence, RI, USA	Ei1Ccm9hZHdheSAmIEtuaWdodCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmvZYGEdUXkiRHAVmwJ-u4XKRIUChIJr2WBhHVF5IkRwFZsCfruFykaFAoSCaW15YZ1ReSJERrCM7HXpG-zGhQKEgkPqvF6dUXkiRGsZxyELkktfCIKDccy7RgVj79s1Q	41.8198215	-71.4293361	41.8198215	-71.4293361	2.446284990196949
57	2025-06-28	925592	23:43:00	Vehicle - Pedestrian	Pedestrian	CRANSTON ST	BELLEVUE AVE	2025-06-29	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Complains Of Pain	1	NA	41.80901	-71.43396	FALSE	FALSE	Cranston Street and Bellevue Ave, Providence, RI, USA	FALSE	-71.43407309999999	41.8089168	intersection	geometric_center	cranston st & bellevue ave, providence, ri 02907, usa	NA	NA	NA	NA	41.8089168	-71.43407309999999	13.989538548672698
59	2025-06-28	925575	14:54:00	Vehicle - Pedestrian	Pedestrian	Broad St	WESLEYAN AVE	2025-06-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	1	NA	41.80771	-71.4204	FALSE	FALSE	Broad Street and Wesleyan Ave, Providence, RI, USA	FALSE	-71.4204481	41.8078973	intersection	geometric_center	wesleyan ave & broad st, providence, ri 02907, usa	NA	NA	NA	NA	41.8078973	-71.4204481	21.228696845427912
65	2025-06-28	925585	18:26:00	Vehicle - Pedestrian	Bicycle	SMITH ST	GASPEE ST	2025-06-28	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	1	NA	41.83154	-71.41296	FALSE	FALSE	Smith Street and Gaspee Street, Providence, RI, USA	FALSE	-71.41281099999999	41.8315429	intersection	geometric_center	gaspee st & smith st, providence, ri 02908, usa	NA	NA	NA	NA	41.8315429	-71.41281099999999	12.363042916339321
69	2025-06-28	925571	09:49:00	Vehicle - Pedestrian	Bicycle	ROANOKE ST	ACADEMY AVE	2025-06-28	Two-Way , Not Divided	Dry	Daylight	Clear	Sidwswipe, Opposite Direction	No	No Controls	4	0	No Injury	1	NA	41.83168	-71.44442	FALSE	FALSE	Roanoke Street and Academy Ave, Providence, RI, USA	FALSE	-71.44442289999999	41.831707	intersection	geometric_center	academy ave & roanoke st, providence, ri 02908, usa	NA	NA	NA	NA	41.831707	-71.44442289999999	3.0152361149279376
70	2025-06-28	925572	11:48:00	Vehicle - Pedestrian	Pedestrian	CHARLES ST	BRANCH AVE	2025-06-28	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Cloudy	Angle (Front - to - Side) Opposite Direction	No	Traffic Control Signal	2	1	Complains Of Pain	1	NA	41.85026	-71.41998	FALSE	FALSE	Charles Street and Branch Ave, Providence, RI, USA	FALSE	-71.4222562	41.8512794	route	geometric_center	branch ave, providence, ri 02904, usa	Charles Street & Branch Ave, Providence, RI, USA	EjBDaGFybGVzIFN0cmVldCAmIEJyYW5jaCBBdmUsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmX1pBx8ETkiRFt3W_DezHjNhIUChIJl9aQcfBE5IkRbd1vw3sx4zYaFAoSCXULzmzxROSJEctkyy41Vf0yGhQKEgnptPOF-UTkiRG6fR7eUkO2qCIKDWnZ8RgVmyxu1Q	41.8503017	-71.4199909	41.8503017	-71.4199909	4.729196276410749
82	2025-06-27	925560	16:00:00	Vehicle - Pedestrian	Pedestrian	FLOWER ST	WHELAN RD	2025-06-27	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	2	Complains Of Pain	1	NA	41.81854	-71.45689	FALSE	FALSE	Flower Street and Whelan Rd, Providence, RI, USA	FALSE	-71.4567543	41.8189638	intersection	geometric_center	flower st & whelan rd, providence, ri 02909, usa	NA	NA	NA	NA	41.8189638	-71.4567543	48.501841761198506
83	2025-06-27	925561	17:04:00	Vehicle - Pedestrian	Pedestrian	ADMIRAL ST	HAWKINS ST	2025-06-27	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	1	NA	41.84593	-71.42843	FALSE	FALSE	Admiral Street and Hawkins Street, Providence, RI, USA	FALSE	-71.42838139999999	41.8459428	intersection	geometric_center	admiral st & hawkins st, providence, ri 02908, usa	NA	NA	NA	NA	41.8459428	-71.42838139999999	4.274698207076226
88	2025-06-27	925569	15:06:00	Vehicle - Pedestrian	Pedestrian	WENDELL ST	SUPERIOR ST	2025-06-27	One-Way Trafficway	Dry	Daylight	Clear	Sideswipe, Same Direction	No	No Controls	3	0	No Injury	2	NA	41.81118	-71.43335	FALSE	FALSE	Wendell Street and Superior Street, Providence, RI, USA	FALSE	-71.4343794	41.8110048	intersection	geometric_center	wendell st & superior st, providence, ri 02907, usa	NA	NA	NA	NA	41.8110048	-71.4343794	87.60944151765774
93	2025-06-27	925551	08:52:00	Vehicle - Pedestrian	Pedestrian	HOPE ST	CUSHING ST	2025-06-27	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	1	Complains Of Pain	1	NA	41.83019	-71.39872	FALSE	FALSE	Hope Street and Cushing Street, Providence, RI, USA	FALSE	-71.3987162	41.8301969	intersection	geometric_center	hope st & cushing st, providence, ri 02906, usa	NA	NA	NA	NA	41.8301969	-71.3987162	0.8302616527434363
116	2025-06-25	925558	16:20:00	Vehicle - Pedestrian	Bicycle	ELMWOOD AVE	ELMWOOD AVE	2025-06-27	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	1	NA	41.8112	-71.42317	FALSE	FALSE	Elmwood Ave and Elmwood Ave, Providence, RI, USA	FALSE	-71.4246181	41.795266	route	geometric_center	elmwood ave, providence, ri, usa	NA	NA	NA	NA	41.795266	-71.4246181	1777.8305058921403
120	2025-06-25	925519	19:06:00	Vehicle - Pedestrian	Pedestrian	79 elmwood ave	NA	2025-06-25	Two-Way , Not Divided	Dry	Daylight	Clear	Sideswipe, Same Direction	Yes, M/V and Driver Left Scene	No Controls	3	0	No Injury	2	NA	NA	NA	TRUE	TRUE	79 Elmwood Ave, Providence, RI, USA	FALSE	-71.4244661	41.81036719999999	premise	rooftop	79 elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.81036719999999	-71.4244661	NA
121	2025-06-25	925515	15:53:00	Vehicle - Pedestrian	Pedestrian	ASHBURTON ST	RANDALL ST	2025-06-25	One-Way Trafficway	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Incapacitating	1	NA	41.83611	-71.41234	FALSE	FALSE	Ashburton Street and Randall Street, Providence, RI, USA	FALSE	-71.41225969999999	41.83607170000001	intersection	geometric_center	randall st & ashburton, providence, ri 02904, usa	NA	NA	NA	NA	41.83607170000001	-71.41225969999999	7.907821341866588
137	2025-06-24	925489	14:38:00	Vehicle - Pedestrian	Pedestrian	North Main St	DOYLE AVE	2025-06-24	Two-Way , Not Divided	Dry	Daylight	Clear	Other	No	No Controls	3	1	Complains Of Pain	1	NA	41.83817	-71.40927	FALSE	FALSE	North Main Street and Doyle Ave, Providence, RI, USA	FALSE	-71.4092347	41.8383506	intersection	geometric_center	n main st & doyle ave, providence, ri 02906, usa	NA	NA	NA	NA	41.8383506	-71.4092347	20.316349383112232
151	2025-06-24	925543	14:52:00	Vehicle - Pedestrian	Pedestrian	Dean St	BOWDITCH PL	2025-06-26	Unknown	Dry	Daylight	Clear	Rear - to - Side	Yes, M/V and Driver Left Scene	No Controls	2	0	No Injury	2	NA	41.81996	-71.42136	FALSE	FALSE	Dean Street and Bowditch Pl, Providence, RI, USA	FALSE	-71.4213971	41.8200157	intersection	geometric_center	bowditch pl & dean st, providence, ri 02903, usa	NA	NA	NA	NA	41.8200157	-71.4213971	6.922364099764394
195	2025-06-22	925394	02:08:00	Vehicle - Pedestrian	Pedestrian	HILLCREST AVE	FREEDOM RD	2025-06-22	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Non-Incapacitating	1	NA	41.83152	-71.45897	FALSE	FALSE	Hillcrest Ave and Freedom Rd, Providence, RI, USA	FALSE	-71.45897579999999	41.8316958	intersection	geometric_center	hillcrest ave & freedom rd, providence, ri 02909, usa	NA	NA	NA	NA	41.8316958	-71.45897579999999	19.575878712649327
216	2025-06-21	925422	22:14:00	Vehicle - Pedestrian	Scooter	CRANSTON ST	DODGE ST	2025-06-22	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Sideswipe, Same Direction	No	No Controls	2	0	No Injury	1	NA	41.81504	-71.42522	FALSE	FALSE	Cranston Street and Dodge Street, Providence, RI, USA	FALSE	-71.42590109999999	41.8145698	intersection	geometric_center	cranston st & dodge st, providence, ri 02907, usa	NA	NA	NA	NA	41.8145698	-71.42590109999999	77.02573436243993
