row_number	crash_date	crash_report_id	crash_time	collision_type	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	distance_btwn_coords_meters
1	2025-01-02	920089	08:11:00	Pedestrian	TERMINAL ROAD	NEW YORK AVE	2025-01-03	Unknown	Dry	Daylight	Clear	Unknown	Yes, M/V and Driver Left Scene	Unknown	3	0	No Injury	NA	41.79613	-71.39506	1	NA	FALSE	FALSE	1	FALSE	FALSE	Terminal Road and New York Ave, Providence, RI, USA	FALSE	-71.3864663	41.7943605	intersection	geometric_center	new york ave & terminal rd, providence, ri 02905, usa	NA	NA	NA	NA	41.7943605	-71.3864663	739.9116433016932
2	2025-01-02	920108	23:14:00	Pedestrian	325 washington st	NA	2025-01-04	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	NA	NA	1	NA	FALSE	FALSE	1	TRUE	TRUE	325 Washington Street, Providence, RI, USA	FALSE	-71.4203833	41.81973139999999	premise	rooftop	325 washington st, providence, ri 02903, usa	NA	NA	NA	NA	41.81973139999999	-71.4203833	NA
3	2025-01-05	920134	18:25:00	Pedestrian	FOUNTAIN ST	FRANCIS ST	2025-01-05	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	2	2	Complains Of Pain	NA	41.82491	-71.41471	2	NA	FALSE	FALSE	1	FALSE	FALSE	Fountain Street and Francis Street, Providence, RI, USA	FALSE	-71.41482549999999	41.8250129	intersection	geometric_center	fountain st & francis st, providence, ri 02902, usa	NA	NA	NA	NA	41.8250129	-71.41482549999999	14.933529747357596
4	2025-01-05	920169	17:15:00	Bicycle	PLAINFIELD ST	RALPH ST	2025-01-07	Unknown	Dry	Dark - Unknown Lighting	Clear	Sidwswipe, Opposite Direction	No	Unknown	3	0	Unknown	NA	41.81345	-71.45352	NA	1	FALSE	FALSE	1	FALSE	FALSE	Plainfield Street and Ralph Street, Providence, RI, USA	FALSE	-71.45351819999999	41.8134733	intersection	geometric_center	ralph st & plainfield st, providence, ri 02909, usa	NA	NA	NA	NA	41.8134733	-71.45351819999999	2.59804004944232
5	2025-01-07	920181	16:04:00	Pedestrian	WICKENDEN ST	BROOK ST	2025-01-07	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	3	1	Complains Of Pain	NA	41.81948	-71.39826	1	NA	FALSE	FALSE	1	FALSE	FALSE	Wickenden Street and Brook Street, Providence, RI, USA	FALSE	-71.398258	41.8194891	intersection	geometric_center	wickenden st & brook st, providence, ri 02903, usa	NA	NA	NA	NA	41.8194891	-71.398258	1.026505666133773
8	2025-01-08	920198	16:56:00	Bicycle	CANAL ST	MILL ST	2025-01-08	One-Way Trafficway	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	2	1	Complains Of Pain	NA	41.8323	-71.41095	NA	1	FALSE	FALSE	1	FALSE	FALSE	Canal Street and Mill Street, Providence, RI, USA	FALSE	-71.41115359999999	41.8329768	intersection	geometric_center	canal st & mill st, providence, ri 02904, usa	NA	NA	NA	NA	41.8329768	-71.41115359999999	77.21044855036337
9	2025-01-08	920213	11:51:00	Pedestrian	WESTMINSTER ST	EMPIRE ST	2025-01-09	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Incapacitating	NA	41.82097	-71.41532	1	NA	FALSE	FALSE	1	FALSE	FALSE	Westminster Street and Empire Street, Providence, RI, USA	FALSE	-71.41527219999999	41.8210122	intersection	geometric_center	empire st & westminster st, providence, ri 02903, usa	NA	NA	NA	NA	41.8210122	-71.41527219999999	6.14759046892192
10	2025-01-08	920223	11:30:00	Pedestrian	EMPIRE ST	NA	2025-01-09	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Unknown	No	Unknown	3	0	Unknown	NA	NA	NA	1	NA	FALSE	FALSE	1	FALSE	TRUE	Empire Street, Providence, RI, USA	FALSE	-71.4157481	41.8213721	route	geometric_center	empire st, providence, ri 02903, usa	NA	NA	NA	NA	41.8213721	-71.4157481	NA
11	2025-01-10	920278	16:38:00	Pedestrian	GREENWICH ST	BUCKLIN ST	2025-01-10	Two-Way , Not Divided	Dry	Daylight	Clear	Rear End(Front-to-Rear)	No	No Controls	3	1	Complains Of Pain	NA	41.80237	-71.4261	1	NA	FALSE	FALSE	1	FALSE	FALSE	Greenwich Street and Bucklin Street, Providence, RI, USA	FALSE	-71.4276629	41.8023394	intersection	geometric_center	bucklin st & greenwich st, providence, ri 02907, usa	NA	NA	NA	NA	41.8023394	-71.4276629	129.7387930743196
12	2025-01-12	920320	11:56:00	Pedestrian	HEATH ST	HARTFORD AVE	2025-01-12	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	4	2	Complains Of Pain	NA	41.81719	-71.44991	2	NA	FALSE	FALSE	1	FALSE	FALSE	Heath Street and Hartford Ave, Providence, RI, USA	FALSE	-71.44988169999999	41.8172824	intersection	geometric_center	heath st & hartford ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8172824	-71.44988169999999	10.550482166005299
