row_number,crash_date,crash_report_id,crash_time,collision_type,count_pedestrian,count_bicycle,scooter,wheel_chair,number_of_vehicles,street_or_highway,nearest_intersection,report_date,type_of_roadway,road_surface_condition,light_condition,weather_condition,manner_of_impact,hit_and_run,traffic_control,person_count,injury_count,most_serious_injury,number_of_lanes,lat_raw,lon_raw,has_st_number,is_intersection_null,address_sent_to_geocoder,is_address_blank,lon_api_first_try,lat_api_first_try,type,loctype,address_returned_by_geocoder,address_returned_by_autocomplete,place_ids_autocompleted,lat_api_second_try,lon_api_second_try,lat_api_best,lon_api_best,api_coord_conf,distance_btwn_coords_meters
1,2023-04-20,893158,12:05:00,Pedestrian,1,NA,FALSE,FALSE,1,W RIVER ST,CHARLES ST,20-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,NA,41.83975,-71.41628,FALSE,FALSE,"W River Street and Charles Street, Providence, RI, USA",FALSE,-71.4164329,41.8396195,intersection,geometric_center,"charles st & w river st, providence, ri 02904, usa",NA,NA,NA,NA,41.8396195,-71.4164329,Med High,19.283140355772048
2,2023-04-20,893182,19:33:00,Bicycle,NA,1,FALSE,FALSE,1,DABOLL ST,UPDIKE ST,20-Apr-23,"Two-Way , Not Divided",Dry,Dusk,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,NA,41.80416,-71.42418,FALSE,FALSE,"Daboll Street and Updike Street, Providence, RI, USA",FALSE,-71.4224174,41.804229,intersection,geometric_center,"updike st & daboll st, providence, ri 02907, usa",NA,NA,NA,NA,41.804229,-71.4224174,Med High,146.46311356865147
3,2023-04-18,893107,16:46:00,Pedestrian,1,NA,FALSE,FALSE,1,705 ELMWOOD AVE,LONGFELLOW ST,18-Apr-23,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,NA,41.79067,-71.42219,TRUE,FALSE,"705 Elmwood Ave, Providence, RI, USA",FALSE,-71.42381379999999,41.7922996,premise,rooftop,"705 elmwood ave, providence, ri 02907, usa",NA,NA,NA,NA,41.7922996,-71.42381379999999,High,225.98967981054562
4,2023-04-17,893070,13:07:00,Bicycle,NA,1,FALSE,FALSE,1,COLLEGE ST,S MAIN ST,17-Apr-23,"Two-Way , Not Divided",Wet,Daylight,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,4,1,Complains Of Pain,NA,41.82578,-71.40745,FALSE,FALSE,"College Street and S Main Street, Providence, RI, USA",FALSE,-71.4037098,41.8208275,route,geometric_center,"s main st, providence, ri 02903, usa","College Street & South Main Street, Providence, RI, USA",EjdDb2xsZWdlIFN0cmVldCAmIFNvdXRoIE1haW4gU3RyZWV0LCBQcm92aWRlbmNlLCBSSSwgVVNBImYiZAoUChIJD1urSRZF5IkRzGbOghZosXsSFAoSCQ9bq0kWReSJEcxmzoIWaLF7GhQKEgnR5cstFkXkiRH1TvxbNfBkPhoUChIJxfz7Uz5F5IkRx3FZv-YChPQiCg2TF-4YFdUHcNU,41.8256787,-71.4078251,41.8256787,-71.4078251,Med,33.095930980932664
5,2023-04-15,893010,13:44:00,Pedestrian,1,NA,FALSE,FALSE,1,FOREST ST,CAMP ST,15-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Non-Incapacitating,NA,41.84377,-71.40141,FALSE,FALSE,"Forest Street and Camp Street, Providence, RI, USA",FALSE,-71.402865,41.8421404,route,geometric_center,"camp st, providence, ri, usa","Forest Street & Camp Street, Providence, RI, USA",EjBGb3Jlc3QgU3RyZWV0ICYgQ2FtcCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgn9EI5b3ETkiRGAth2nkh3ymRIUChIJ_RCOW9xE5IkRgLYdp5Id8pkaFAoSCRFQ34_bROSJEQIl3CPw4hkJGhQKEgktQu-DzkTkiRGJ8rTgKkmS4CIKDd7i8BgVb-Vw1Q,41.8439902,-71.4021521,41.8439902,-71.4021521,Med,66.24386499790131
6,2023-04-14,893000,23:06:00,Pedestrian,1,NA,FALSE,FALSE,1,FILLMORE ST,ADMIRAL ST,15-Apr-23,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Non-Incapacitating,NA,41.84081,-71.41986,FALSE,FALSE,"Fillmore Street and Admiral Street, Providence, RI, USA",FALSE,-71.41986419999999,41.8408412,intersection,geometric_center,"admiral st & fillmore st, providence, ri 02908, usa",NA,NA,NA,NA,41.8408412,-71.41986419999999,Med High,3.4905906284221766
7,2023-04-12,892888,09:43:00,Pedestrian,1,NA,FALSE,FALSE,1,880 BROAD ST,OXFORD ST,12-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,5,1,Complains Of Pain,NA,41.80019,-71.41713,TRUE,FALSE,"880 Broad Street, Providence, RI, USA",FALSE,-71.41674019999999,41.8002253,premise,rooftop,"880 broad st, providence, ri 02905, usa",NA,NA,NA,NA,41.8002253,-71.41674019999999,High,32.585647522211126
8,2023-04-11,892862,22:31:00,Pedestrian,1,NA,FALSE,FALSE,1,BROADWAY,KNIGHT ST,11-Apr-23,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Complains Of Pain,NA,41.81979,-71.42938,FALSE,FALSE,"Broadway and Knight Street, Providence, RI, USA",FALSE,-71.4298401,41.8202496,route,geometric_center,"knight st, providence, ri, usa","Broadway & Knight Street, Providence, RI, USA",Ei1Ccm9hZHdheSAmIEtuaWdodCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmvZYGEdUXkiRHAVmwJ-u4XKRIUChIJr2WBhHVF5IkRwFZsCfruFykaFAoSCaW15YZ1ReSJERrCM7HXpG-zGhQKEgkPqvF6dUXkiRGsZxyELkktfCIKDcQy7RgVV79s1Q,41.8198212,-71.4293417,41.8198212,-71.4293417,Med,4.7072975971076305
9,2023-04-10,892838,16:07:00,Bicycle,NA,1,FALSE,FALSE,1,CHARLES ST.,CHARLES ST,10-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,NA,41.85302,-71.42041,FALSE,FALSE,"Charles St. and Charles Street, Providence, RI, USA",FALSE,-71.4128343,41.8239891,locality,approximate,"providence, ri, usa",NA,NA,NA,NA,41.8239891,-71.4128343,Med,3292.2146215262424
10,2023-04-08,892777,02:07:00,Pedestrian,1,NA,FALSE,FALSE,1,BROAD ST,BROAD ST,08-Apr-23,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,3,1,Complains Of Pain,NA,41.79151,-71.40636,FALSE,FALSE,"Broad Street and Broad Street, Providence, RI, USA",FALSE,-71.4101636,41.7945838,route,geometric_center,"broad st, providence, ri, usa",NA,NA,NA,NA,41.7945838,-71.4101636,Med,465.5498882706233
