row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	is_address_blank	lon_api_first_try	lat_api_first_try	type	loctype	address_returned_by_geocoder	address_returned_by_autocomplete	place_ids_autocompleted	lat_api_second_try	lon_api_second_try	lat_api_best	lon_api_best	api_coord_conf	distance_btwn_coords_meters	best_coordinate_set	correct_coordinates	corrected_lat	corrected_lon	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon
3777	2010-01-12	23573	17:35:00	Pedestrian	1	NA	FALSE	FALSE	1	850 manton ave	CHALKSTONE AVE	1/12/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle - Direction Not Specified	No	No Controls	3	1	Incapacitating	NA	41.83392	-71.4671	TRUE	FALSE	850 Manton Ave, Providence, RI, USA	FALSE	-71.4659043	41.8329814	premise	rooftop	850 manton ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8329814	-71.4659043	High	144.057621	Raw	NA	NA	NA	TRUE	FALSE	Raw	41.83392	-71.4671
3776	2010-01-14	23675	7:51:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	ATLANTIC AVE	1/14/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	No Controls	2	1	Complains Of Pain	2	41.79951	-71.41629	FALSE	FALSE	Broad Street and Atlantic Ave, Providence, RI, USA	FALSE	-71.4210202	41.7978959	route	geometric_center	atlantic ave, providence, ri 02907, usa	Broad Street & Atlantic Ave, Providence, RI, USA	EjBCcm9hZCBTdHJlZXQgJiBBdGxhbnRpYyBBdmUsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgmTFY5EiE_kiRG4BujsiS_MMRIUChIJkxWORIhP5IkRuAbo7IkvzDEaFAoSCYPefdWMT-SJESyiypOYSwijGhQKEglX8dGJhk_kiREiJZn_Y5y2CCIKDRwV6hgVG8Nu1Q	41.7994012	-71.4161381	41.7994012	-71.4161381	Med	17.48122175	NA	NA	NA	NA	FALSE	FALSE	Raw	41.79951	-71.41629
3774	2010-01-16	23859	10:25:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	BROAD ST	1/17/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	2	41.81379	-71.42152	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	FALSE	-71.4101636	41.7945838	route	geometric_center	broad st, providence, ri, usa	NA	NA	NA	NA	41.7945838	-71.4101636	Med	2336.491402	Unknown	NA	NA	NA	TRUE	TRUE	Raw	41.81379	-71.42152
3775	2010-01-16	23903	14:49:00	Pedestrian	1	NA	FALSE	FALSE	1	PARK ST	SMITH ST	1/18/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Complains Of Pain	NA	41.83189	-71.41688	FALSE	FALSE	Park Street and Smith Street, Providence, RI, USA	FALSE	-71.4168712	41.8319005	intersection	geometric_center	park st & smith st, providence, ri 02903, usa	NA	NA	NA	NA	41.8319005	-71.4168712	Med High	1.378040131	NA	NA	NA	NA	FALSE	FALSE	Raw	41.83189	-71.41688
3773	2010-01-17	23879	19:08:00	Pedestrian	1	NA	FALSE	FALSE	1	Elmwood Avenue	Roger Williams Avenue	1/17/10	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Unknown Lighting	Rain	Unknown	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Complains Of Pain	NA	41.78899	-71.42128	FALSE	FALSE	Elmwood Avenue and Roger Williams Avenue, Providence, RI, USA	FALSE	-71.4209033	41.7885278	intersection	geometric_center	roger williams ave & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.7885278	-71.4209033	Med High	60.20695217	NA	NA	NA	NA	FALSE	FALSE	Raw	41.78899	-71.42128
3769	2010-01-20	23997	11:46:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	EXIT	1/20/10	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	2	41.82309	-71.4195	FALSE	FALSE	Atwells Ave and Exit, Providence, RI, USA	FALSE	-71.4363598	41.8244829	route	geometric_center	atwells ave, providence, ri, usa	NA	NA	NA	NA	41.8244829	-71.4363598	Med	1407.177002	Raw	NA	NA	NA	TRUE	FALSE	Raw	41.82309	-71.4195
3770	2010-01-20	24026	17:06:00	Pedestrian	1	NA	FALSE	FALSE	1	CHESTNUT ST	POINT ST	1/20/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	2	41.81647	-71.40815	FALSE	FALSE	Chestnut Street and Point Street, Providence, RI, USA	FALSE	-71.4087555	41.8159653	route	geometric_center	point st, providence, ri 02903, usa	Chestnut Street & Point Street, Providence, RI, USA	EjNDaGVzdG51dCBTdHJlZXQgJiBQb2ludCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgnXK6ZeakXkiRHFUTC_HDI07BIUChIJ1yumXmpF5IkRxVEwvxwyNOwaFAoSCemusmlrReSJEeIgkGCAT9AzGhQKEgkbVDpWakXkiRET2ahsLgoQTyIKDcen7BgVtwBw1Q	41.8162631	-71.4080073	41.8162631	-71.4080073	Med	25.89665857	NA	NA	NA	NA	FALSE	FALSE	Raw	41.81647	-71.40815
3771	2010-01-20	24037	17:27:00	Bicycle	NA	1	FALSE	FALSE	1	MANTON AVE	DELAINE ST	1/20/10	Two-Way, Divided, Positive Median Barrier	Dry	Dark - Lighted	Clear	Other	No	Traffic Control Signal	4	1	Complains Of Pain	NA	41.81795	-71.44465	FALSE	FALSE	Manton Ave and Delaine Street, Providence, RI, USA	FALSE	-71.4446349	41.8179569	intersection	geometric_center	delaine st & manton ave, providence, ri 02909, usa	NA	NA	NA	NA	41.8179569	-71.4446349	Med High	1.469467929	NA	NA	NA	NA	FALSE	FALSE	Raw	41.81795	-71.44465
3772	2010-01-20	24395	17:06:00	Pedestrian	1	NA	FALSE	FALSE	1	CHESTNUT ST	POINT ST	1/20/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	2	41.81647	-71.40815	FALSE	FALSE	Chestnut Street and Point Street, Providence, RI, USA	FALSE	-71.4087555	41.8159653	route	geometric_center	point st, providence, ri 02903, usa	Chestnut Street & Point Street, Providence, RI, USA	EjNDaGVzdG51dCBTdHJlZXQgJiBQb2ludCBTdHJlZXQsIFByb3ZpZGVuY2UsIFJJLCBVU0EiZiJkChQKEgnXK6ZeakXkiRHFUTC_HDI07BIUChIJ1yumXmpF5IkRxVEwvxwyNOwaFAoSCemusmlrReSJEeIgkGCAT9AzGhQKEgkbVDpWakXkiRET2ahsLgoQTyIKDcen7BgVtwBw1Q	41.8162631	-71.4080073	41.8162631	-71.4080073	Med	25.89665857	NA	NA	NA	NA	FALSE	FALSE	Raw	41.81647	-71.40815
3768	2010-01-21	24167	11:52:00	Pedestrian	1	NA	FALSE	FALSE	1	PLENTY ST	ELMWOOD AVE	1/22/10	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.80717	-71.42486	FALSE	FALSE	Plenty Street and Elmwood Ave, Providence, RI, USA	FALSE	-71.4248794	41.8071885	intersection	geometric_center	plenty st & elmwood ave, providence, ri 02907, usa	NA	NA	NA	NA	41.8071885	-71.4248794	Med High	2.613897698	NA	NA	NA	NA	FALSE	FALSE	Raw	41.80717	-71.42486
