row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	pvd_nhood	pvd_wards
3777	2010-01-12	23573	17:35:00	Pedestrian	1	NA	FALSE	FALSE	1	850 manton ave	CHALKSTONE AVE	1/12/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle - Direction Not Specified	No	No Controls	3	1	Incapacitating	NA	41.83392	-71.4671	TRUE	FALSE	850 Manton Ave, Providence, RI, USA	High	Raw	TRUE	FALSE	Raw	41.83392	-71.4671	Manton	5
3776	2010-01-14	23675	07:51:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	ATLANTIC AVE	1/14/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	No Controls	2	1	Complains Of Pain	2	41.79951	-71.41629	FALSE	FALSE	Broad Street and Atlantic Ave, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.79951	-71.41629	Elmwood	9
3774	2010-01-16	23859	10:25:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	BROAD ST	1/17/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	2	41.81379	-71.42152	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	Med	Unknown	TRUE	TRUE	Raw	41.81379	-71.42152	West End	11
3775	2010-01-16	23903	14:49:00	Pedestrian	1	NA	FALSE	FALSE	1	PARK ST	SMITH ST	1/18/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Complains Of Pain	NA	41.83189	-71.41688	FALSE	FALSE	Park Street and Smith Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83189	-71.41688	Smith Hill	12
3773	2010-01-17	23879	19:08:00	Pedestrian	1	NA	FALSE	FALSE	1	Elmwood Avenue	Roger Williams Avenue	1/17/10	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Unknown Lighting	Rain	Unknown	Yes, M/V and Driver Left Scene	Traffic Control Signal	1	1	Complains Of Pain	NA	41.78899	-71.42128	FALSE	FALSE	Elmwood Avenue and Roger Williams Avenue, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.78899	-71.42128	Elmwood	8
3769	2010-01-20	23997	11:46:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	EXIT	1/20/10	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	2	41.82309	-71.4195	FALSE	FALSE	Atwells Ave and Exit, Providence, RI, USA	Med	Raw	TRUE	FALSE	Raw	41.82309	-71.4195	Federal Hill	1
3770	2010-01-20	24026	17:06:00	Pedestrian	1	NA	FALSE	FALSE	1	CHESTNUT ST	POINT ST	1/20/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	2	41.81647	-71.40815	FALSE	FALSE	Chestnut Street and Point Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.81647	-71.40815	Downtown	1
3771	2010-01-20	24037	17:27:00	Bicycle	NA	1	FALSE	FALSE	1	MANTON AVE	DELAINE ST	1/20/10	Two-Way, Divided, Positive Median Barrier	Dry	Dark - Lighted	Clear	Other	No	Traffic Control Signal	4	1	Complains Of Pain	NA	41.81795	-71.44465	FALSE	FALSE	Manton Ave and Delaine Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.81795	-71.44465	Olneyville	15
3772	2010-01-20	24395	17:06:00	Pedestrian	1	NA	FALSE	FALSE	1	CHESTNUT ST	POINT ST	1/20/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	2	41.81647	-71.40815	FALSE	FALSE	Chestnut Street and Point Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.81647	-71.40815	Downtown	1
3768	2010-01-21	24167	11:52:00	Pedestrian	1	NA	FALSE	FALSE	1	PLENTY ST	ELMWOOD AVE	1/22/10	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Complains Of Pain	NA	41.80717	-71.42486	FALSE	FALSE	Plenty Street and Elmwood Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.80717	-71.42486	West End	11
