row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	pvd_nhood	pvd_wards	geoid20
1	2023-04-20	893158	12:05:00	Pedestrian	1	NA	FALSE	FALSE	1	W RIVER ST	CHARLES ST	2023-04-20	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.83975	-71.41628	FALSE	FALSE	W River Street and Charles Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.83975	-71.41628	Mount Hope	4	440070029004030
2	2023-04-20	893182	19:33:00	Bicycle	NA	1	FALSE	FALSE	1	DABOLL ST	UPDIKE ST	2023-04-20	Two-Way , Not Divided	Dry	Dusk	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.80416	-71.42418	FALSE	FALSE	Daboll Street and Updike Street, Providence, RI, USA	Med High	Geocoded	FALSE	Amended	41.804229	-71.4224174	Elmwood	9	440070003023003
3	2023-04-18	893107	16:46:00	Pedestrian	1	NA	FALSE	FALSE	1	705 ELMWOOD AVE	LONGFELLOW ST	2023-04-18	Two-Way, Divided, Positive Median Barrier	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.79067	-71.42219	TRUE	FALSE	705 Elmwood Ave, Providence, RI, USA	High	Raw	FALSE	Raw	41.79067	-71.42219	Elmwood	8	440070002005032
4	2023-04-17	893070	13:07:00	Bicycle	NA	1	FALSE	FALSE	1	COLLEGE ST	S MAIN ST	2023-04-17	Two-Way , Not Divided	Wet	Daylight	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Pavement Markings	4	1	Complains Of Pain	NA	41.82578	-71.40745	FALSE	FALSE	College Street and S Main Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.82578	-71.40745	College Hill	2	440070036023022
5	2023-04-15	893010	13:44:00	Pedestrian	1	NA	TRUE	FALSE	1	FOREST ST	CAMP ST	2023-04-15	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Non-Incapacitating	NA	41.84377	-71.40141	FALSE	FALSE	Forest Street and Camp Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.84377	-71.40141	Mount Hope	3	440070032002005
6	2023-04-14	893000	23:06:00	Pedestrian	1	NA	FALSE	FALSE	1	FILLMORE ST	ADMIRAL ST	2023-04-15	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	2	1	Non-Incapacitating	NA	41.84081	-71.41986	FALSE	FALSE	Fillmore Street and Admiral Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.84081	-71.41986	Wanskuck	4	440070026002003
7	2023-04-12	892888	09:43:00	Pedestrian	1	NA	FALSE	FALSE	1	880 BROAD ST	OXFORD ST	2023-04-12	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	5	1	Complains Of Pain	NA	41.80019	-71.41713	TRUE	FALSE	880 Broad Street, Providence, RI, USA	High	NA	FALSE	Raw	41.80019	-71.41713	Elmwood	9	440070002001000
8	2023-04-11	892862	22:31:00	Pedestrian	1	NA	FALSE	FALSE	1	BROADWAY	KNIGHT ST	2023-04-11	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Complains Of Pain	NA	41.81979	-71.42938	FALSE	FALSE	Broadway and Knight Street, Providence, RI, USA	Med	NA	FALSE	Raw	41.81979	-71.42938	Federal Hill	13	440070011003002
9	2023-04-10	892838	16:07:00	Bicycle	NA	1	FALSE	FALSE	1	CHARLES ST.	CHARLES ST	2023-04-10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.85302	-71.42041	FALSE	FALSE	Charles St. and Charles Street, Providence, RI, USA	Med	Cannot be determined	FALSE	Raw	41.85302	-71.42041	Charles	4	440070029005029
10	2023-04-08	892777	02:07:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	BROAD ST	2023-04-08	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	3	1	Complains Of Pain	NA	41.79151	-71.40636	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	Med	Cannot be determined	TRUE	Raw	41.79151	-71.40636	Washington Park	10	440070001023008
11	2023-04-06	892716	13:12:00	Pedestrian	1	NA	FALSE	FALSE	1	PLEASANT ST	DAGGETT CT	2023-04-06	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes, M/V and Driver Left Scene	No Controls	1	1	Complains Of Pain	NA	41.83923	-71.40849	FALSE	FALSE	Pleasant Street and Daggett Ct, Providence, RI, USA	Med	NA	FALSE	Raw	41.83923	-71.40849	Mount Hope	3	440070031002010
12	2023-04-04	892611	15:37:00	Pedestrian	1	NA	FALSE	FALSE	1	GANO ST	ANGELL ST	2023-04-04	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	2	1	Non-Incapacitating	NA	41.82957	-71.39097	FALSE	FALSE	Gano Street and Angell Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82957	-71.39097	Wayland	1	440070036012000
13	2023-04-01	892461	22:28:00	Pedestrian	1	NA	FALSE	FALSE	1	Providence Place	Harris Ave	2023-04-01	One-Way Trafficway	Dry	Dark - Not Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Complains Of Pain	NA	41.82779	-71.41904	FALSE	FALSE	Providence Place and Harris Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82779	-71.41904	Smith Hill	13	440070025003016
14	2023-03-28	892328	23:39:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	ACADEMY AVE	2023-03-28	Two-Way, Divided, Unprotected (painted>4feet) Medium	Wet	Dark - Lighted	Rain	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Incapacitating	NA	41.82478	-71.44342	FALSE	FALSE	Atwells Ave and Academy Ave, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82478	-71.44342	Olneyville	15	440070019006002
15	2023-03-28	892346	17:06:00	Other	1	NA	TRUE	FALSE	1	WESTMINSTER ST	WEYBOSSET ST	2023-03-28	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	3	1	Complains Of Pain	NA	41.82509	-71.40964	FALSE	FALSE	Westminster Street and Weybosset Street, Providence, RI, USA	Med High	NA	FALSE	Raw	41.82509	-71.40964	Downtown	1	440070008003014
