row_number	crash_date	crash_report_id	crash_time	collision_type	count_pedestrian	count_bicycle	scooter	wheel_chair	number_of_vehicles	street_or_highway	nearest_intersection	report_date	type_of_roadway	road_surface_condition	light_condition	weather_condition	manner_of_impact	hit_and_run	traffic_control	person_count	injury_count	most_serious_injury	number_of_lanes	lat_raw	lon_raw	has_st_number	is_intersection_null	address_sent_to_geocoder	api_coord_conf	best_coordinate_set	manually_qaed_record	street_intersects_self	best_coordinate_set_expanded	final_lat	final_lon	year	month
3777	2010-01-12	23573	17:35:00	Pedestrian	1	NA	FALSE	FALSE	1	850 manton ave	CHALKSTONE AVE	1/12/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Angle - Direction Not Specified	No	No Controls	3	1	Incapacitating	NA	41.83392	-71.4671	TRUE	FALSE	850 Manton Ave, Providence, RI, USA	High	Raw	TRUE	FALSE	Raw	41.83392	-71.4671	2010	January
3776	2010-01-14	23675	7:51:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	ATLANTIC AVE	1/14/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	No Controls	2	1	Pain Reported	2	41.79951	-71.41629	FALSE	FALSE	Broad Street and Atlantic Ave, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.79951	-71.41629	2010	January
3774	2010-01-16	23859	10:25:00	Pedestrian	1	NA	FALSE	FALSE	1	BROAD ST	BROAD ST	1/17/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	No Controls	1	1	Pain Reported	2	41.81379	-71.42152	FALSE	FALSE	Broad Street and Broad Street, Providence, RI, USA	Med	Unknown	TRUE	TRUE	Raw	41.81379	-71.42152	2010	January
3775	2010-01-16	23903	14:49:00	Pedestrian	1	NA	FALSE	FALSE	1	PARK ST	SMITH ST	1/18/10	Two-Way , Not Divided	Dry	Daylight	Clear	Other	Yes	Traffic Control Signal	1	1	Pain Reported	NA	41.83189	-71.41688	FALSE	FALSE	Park Street and Smith Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83189	-71.41688	2010	January
3773	2010-01-17	23879	19:08:00	Pedestrian	1	NA	FALSE	FALSE	1	Elmwood Avenue	Roger Williams Avenue	1/17/10	Two-Way, Divided, Positive Median Barrier	Wet	Dark - Unknown Lighting	Rain	Unknown	Yes	Traffic Control Signal	1	1	Pain Reported	NA	41.78899	-71.42128	FALSE	FALSE	Elmwood Avenue and Roger Williams Avenue, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.78899	-71.42128	2010	January
3769	2010-01-20	23997	11:46:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	EXIT	1/20/10	Two-Way , Not Divided	Dry	Daylight	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Pain Reported	2	41.82309	-71.4195	FALSE	FALSE	Atwells Ave and Exit, Providence, RI, USA	Med	Raw	TRUE	FALSE	Raw	41.82309	-71.4195	2010	January
3770	2010-01-20	24026	17:06:00	Pedestrian	1	NA	FALSE	FALSE	1	CHESTNUT ST	POINT ST	1/20/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Pain Reported	2	41.81647	-71.40815	FALSE	FALSE	Chestnut Street and Point Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.81647	-71.40815	2010	January
3771	2010-01-20	24037	17:27:00	Bicycle	NA	1	FALSE	FALSE	1	MANTON AVE	DELAINE ST	1/20/10	Two-Way, Divided, Positive Median Barrier	Dry	Dark - Lighted	Clear	Other	No	Traffic Control Signal	4	1	Pain Reported	NA	41.81795	-71.44465	FALSE	FALSE	Manton Ave and Delaine Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.81795	-71.44465	2010	January
3772	2010-01-20	24395	17:06:00	Pedestrian	1	NA	FALSE	FALSE	1	CHESTNUT ST	POINT ST	1/20/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Not a Collision Between Two Motor Vehicles in Transport	No	No Controls	2	1	Pain Reported	2	41.81647	-71.40815	FALSE	FALSE	Chestnut Street and Point Street, Providence, RI, USA	Med	NA	FALSE	FALSE	Raw	41.81647	-71.40815	2010	January
3768	2010-01-21	24167	11:52:00	Pedestrian	1	NA	FALSE	FALSE	1	PLENTY ST	ELMWOOD AVE	1/22/10	Two-Way, Divided, Unprotected (painted>4feet) Medium	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Pain Reported	NA	41.80717	-71.42486	FALSE	FALSE	Plenty Street and Elmwood Ave, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.80717	-71.42486	2010	January
3767	2010-01-25	24255	17:14:00	Pedestrian	1	NA	FALSE	FALSE	1	WATERMAN ST	BROOK ST	1/25/10	One-Way Trafficway	Wet	Dark - Lighted	Rain	Other	No	Traffic Control Signal	3	1	Pain Reported	2	41.8274	-71.39933	FALSE	FALSE	Waterman Street and Brook Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.8274	-71.39933	2010	January
3766	2010-01-29	24528	15:26:00	Pedestrian	1	NA	FALSE	FALSE	1	PARK ST	SMITH ST	1/29/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	Traffic Control Signal	2	1	Pain Reported	2	41.83189	-71.41688	FALSE	FALSE	Park Street and Smith Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83189	-71.41688	2010	January
3764	2010-02-02	24722	16:35:00	Bicycle	NA	1	FALSE	FALSE	1	DYER ST	FRIENDSHIP ST	2/2/10	Two-Way , Not Divided	Dry	Daylight	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	4	0	No Injury	NA	41.82305	-71.40832	FALSE	FALSE	Dyer Street and Friendship Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82305	-71.40832	2010	February
3765	2010-02-02	24732	20:31:00	Pedestrian	1	NA	FALSE	FALSE	1	ATWELLS AVE	DEAN ST	2/2/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Other	No	Person	2	1	Pain Reported	NA	41.82339	-71.4242	FALSE	FALSE	Atwells Ave and Dean Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82339	-71.4242	2010	February
3763	2010-02-06	24935	3:00:00	Pedestrian	1	NA	FALSE	FALSE	1	RICHMOND ST	weybosett st	2/6/10	One-Way Trafficway	Dry	Dark - Lighted	Clear	Head-On (Front - to - Front)	Yes	No Controls	1	1	Pain Reported	NA	41.82084	-71.41227	FALSE	FALSE	Richmond Street and Weybosett Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82084	-71.41227	2010	February
3762	2010-02-09	25089	7:20:00	Pedestrian	2	NA	FALSE	FALSE	1	Douglas Ave	FILLMORE ST	2/9/10	Two-Way , Not Divided	Dry	Daylight	Clear	Head-On (Front - to - Front)	No	Person	3	2	Pain Reported	2	41.83718	-71.42232	FALSE	FALSE	Douglas Ave and Fillmore Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83718	-71.42232	2010	February
3760	2010-02-12	25290	1:43:00	Pedestrian	2	NA	FALSE	FALSE	1	HOPE ST	THAYER ST	2/12/10	Two-Way , Not Divided	Dry	Dark - Lighted	Cloudy	Angle (Front - to - Side) Same Direction	No	No Controls	6	2	Fatal	2	41.83372	-71.40133	FALSE	FALSE	Hope Street and Thayer Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.83372	-71.40133	2010	February
3761	2010-02-12	25320	17:56:00	Pedestrian	1	NA	FALSE	FALSE	1	PLAINFIELD ST	DIKE ST	2/12/10	Two-Way , Not Divided	Dry	Dusk	Clear	Not a Collision Between Two Motor Vehicles in Transport	No	Traffic Control Signal	3	1	Pain Reported	NA	41.81621	-71.44467	FALSE	FALSE	Plainfield Street and Dike Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.81621	-71.44467	2010	February
3759	2010-02-14	25406	21:48:00	Pedestrian	2	NA	FALSE	FALSE	1	FRANCIS ST	AMERICAN EXPRESS PLZ	2/14/10	Two-Way , Not Divided	Dry	Dark - Lighted	Clear	Not a Collision Between Two Motor Vehicles in Transport	Yes	Traffic Control Signal	3	2	Incapacitating	NA	41.82745	-71.41541	FALSE	FALSE	Francis Street and American Express Plz, Providence, RI, USA	Med	Raw	TRUE	FALSE	Raw	41.82745	-71.41541	2010	February
3758	2010-02-19	25683	11:48:00	Pedestrian	1	NA	FALSE	FALSE	1	BENEFIT ST	WATERMAN ST	2/19/10	Two-Way , Not Divided	Dry	Daylight	Clear	Unknown	No	No Controls	2	1	Pain Reported	NA	41.82711	-71.40744	FALSE	FALSE	Benefit Street and Waterman Street, Providence, RI, USA	Med High	NA	FALSE	FALSE	Raw	41.82711	-71.40744	2010	February
