row_number	crash_report_id	street_or_highway	nearest_intersection	traffic_control	type	type_of_roadway	address_sent_to_geocoder	lat_raw	lon_raw	lat_api_best	lon_api_best	distance_btwn_coords_meters	best_coords	reason_for_qa
2	907410	BROAD ST	BROAD ST	Pavement Markings	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.80153	-71.41838	41.8004646	-71.4174197	142.88611165051054	Raw	distance greater than 100m
7	907648	BROAD ST	BROAD ST	No Controls	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.81459	-71.42105	41.8004646	-71.4174197	1601.0253550032562	Raw	distance greater than 100m
18	907979	CLADRASH'S AVE	MAPLE AVE	No Controls	route	Two-Way , Not Divided	Cladrash's Ave and Maple Ave, Providence, RI, USA	41.78404	-71.4123	41.7823585	-71.4144615	259.28698646160103	Not yet determined	distance greater than 100m
31	908751	N MAIN ST	CEMETERY ST	No Controls	intersection	One-Way Trafficway	N Main Street and Cemetery Street, Providence, RI, USA	41.8474	-71.40481	41.849069	-71.4037688	204.87396670677737	Not yet determined	distance greater than 100m
49	909456	DOUGLAS AVE	DOUGLAS AVE	No Controls	route	Two-Way , Not Divided	Douglas Ave and Douglas Ave, Providence, RI, USA	41.84128	-71.42741	41.8457329	-71.4288217	509.33181582433144	Raw	distance greater than 100m
57	909680	60 Valley St	SCHOOL ST	No Controls	premise	Two-Way , Not Divided	60 Valley Street, Providence, RI, USA	41.81896	-71.44059	41.8184676	-71.44164719999999	103.42675461595222	Not yet determined	distance greater than 100m
61	909853	F C GREENE MEMORIAL BLVD	F C GREENE MEMORIAL BLVD	Pavement Markings	intersection	Two-Way, Divided, Positive Median Barrier	F C Greene Memorial Blvd and F C Greene Memorial Blvd, Providence, RI, USA	41.78035	-71.4162	41.7885402	-71.41419909999999	926.7332237309224	Raw	distance greater than 100m
63	909986	387 Charles Street	Ramp	Traffic Control Signal	premise	Two-Way , Not Divided	387 Charles Street, Providence, RI, USA	41.84214	-71.41783	41.84380240000001	-71.4175056	187.0027706504031	Not yet determined	distance greater than 100m
66	910172	BROAD ST	BROAD ST	Pavement Markings	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.81418	-71.42128	41.8004646	-71.4174197	1560.0298220484915	Raw	distance greater than 100m
70	910260	PLENTY ST	PLENTY ST	Traffic Control Signal	route	Two-Way , Not Divided	Plenty Street and Plenty Street, Providence, RI, USA	41.80725	-71.42024	41.8072297	-71.4223342	173.78435665091774	Raw	distance greater than 100m
92	911491	GLADSTONE ST.	BAXTER ST	No Controls	intersection	Two-Way , Not Divided	Gladstone St. and Baxter Street, Providence, RI, USA	41.80267	-71.41862	41.80318630000001	-71.4164725	187.2433334936877	Not yet determined	distance greater than 100m
93	911496	BROAD ST.	BROAD ST	No Controls	route	Two-Way , Not Divided	Broad St. and Broad Street, Providence, RI, USA	41.79941	-71.41617	41.8004646	-71.4174197	156.644411604322	Not yet determined	distance greater than 100m
99	911589	ELMWOOD AVE	ELMWOOD AVE	Pavement Markings	route	Two-Way , Not Divided	Elmwood Ave and Elmwood Ave, Providence, RI, USA	41.80698	-71.42488	41.7787537	-71.4207394	3160.873688466949	Raw	distance greater than 100m
124	912277	Admiral Street	ADMIRAL ST EXIT	Traffic Control Signal	route	Two-Way , Not Divided	Admiral Street and Admiral Street Exit, Providence, RI, USA	41.84068	-71.41899	41.8466666	-71.4320733	1273.3134673528666	Not yet determined	distance greater than 100m
125	913313	Gallatin ST	EMERSON ST	No Controls	intersection	Two-Way , Not Divided	Gallatin Street and Emerson Street, Providence, RI, USA	41.79708	-71.41391	41.7966579	-71.415359	129.1067632573047	Not yet determined	distance greater than 100m
129	913497	110 LOCKWOOD ST	PLAIN ST	No Controls	premise	One-Way Trafficway	110 Lockwood Street, Providence, RI, USA	41.81153	-71.41171	41.8113886	-71.41013869999999	131.31937890395116	Not yet determined	distance greater than 100m
133	913640	GALLATIN ST	EMERSON ST	Pavement Markings	intersection	Two-Way , Not Divided	Gallatin Street and Emerson Street, Providence, RI, USA	41.79721	-71.41344	41.7966579	-71.415359	170.7053200317984	Not yet determined	distance greater than 100m
143	913960	FARRAGUT AVE	MONTGOMERY AVE	Traffic Control Signal	route	Two-Way , Not Divided	Farragut Ave and Montgomery Ave, Providence, RI, USA	41.78744	-71.40284	41.7859535	-71.4006729	244.4134469100761	Not yet determined	distance greater than 100m
144	913970	CLYM ST	ADMIRAL ST	Stop Signs	route	Two-Way , Not Divided	Clym Street and Admiral Street, Providence, RI, USA	41.84418	-71.42372	41.8466666	-71.4320733	745.9737407450351	Not yet determined	distance greater than 100m
146	914004	ALVERSON AVE	MERINO ST	No Controls	route	Two-Way , Not Divided	Alverson Ave and Merino Street, Providence, RI, USA	41.81371	-71.45833	41.8172154	-71.4586132	390.926074965185	Not yet determined	distance greater than 100m
147	914019	Union Ave	EXIT	Traffic Control Signal	locality	One-Way Trafficway	Union Ave and Exit, Providence, RI, USA	41.80854	-71.44116	41.8244836	-71.4127462	2950.7772386730594	Not yet determined	distance greater than 100m
148	914028	WASHINGTON ST/ JOHN J PARDINGTON WAY	DEAN ST	No Controls	route	Two-Way , Not Divided	Washington St/ John J Pardington Way and Dean Street, Providence, RI, USA	41.81964	-71.41979	41.8234242	-71.4242087	558.4150356218252	Not yet determined	distance greater than 100m
153	914219	BROAD ST	BROAD ST	No Controls	route	Two-Way , Not Divided	Broad Street and Broad Street, Providence, RI, USA	41.79948	-71.41625	41.8004646	-71.4174197	146.40915532919433	Raw	distance greater than 100m
156	914331	WESTMINSTER ST	CRANSTON ST	No Controls	intersection	One-Way Trafficway	Westminster Street and Cranston Street, Providence, RI, USA	41.81782	-71.42104	41.817196	-71.42226459999999	123.07350662249088	Not yet determined	distance greater than 100m
158	914344	HARRIS AVE	KINSLEY AVE	No Controls	route	One-Way Trafficway	Harris Ave and Kinsley Ave, Providence, RI, USA	41.82779	-71.41902	41.8282712	-71.4294894	870.0840756803576	Not yet determined	distance greater than 100m
173	914575	SMITHFIELD AVE	I 95 NORTH RAMP	Traffic Control Signal	street_address	Two-Way, Divided, Positive Median Barrier	Smithfield Ave and I 95 North Ramp, Providence, RI, USA	41.85478	-71.40446	41.8636703	-71.4120764	1173.962827935877	Not yet determined	distance greater than 100m
176	915029	ACADEMY	MAPLEHURST	No Controls	route	Two-Way , Not Divided	Academy and Maplehurst, Providence, RI, USA	41.82567	-71.42689	41.8268621	-71.4436581	1397.263186445365	Not yet determined	distance greater than 100m
190	915018	FRANCIS ST	AMERICAN EXPRESS PLZ	No Controls	locality	Two-Way, Divided, Unprotected (painted>4feet) Medium	Francis Street and American Express Plz, Providence, RI, USA	41.82745	-71.41541	41.8244836	-71.4127462	397.3299765147588	Not yet determined	distance greater than 100m
199	915295	BROAD ST	SERVICE ROAD 8	Traffic Control Signal	route	One-Way Trafficway	Broad Street and Service Road 8, Providence, RI, USA	41.81794	-71.41631	41.8158996	-71.440833	2047.16803912493	Not yet determined	distance greater than 100m
201	915405	BRIDGE ST	S WATER ST	No Controls	route	Two-Way , Not Divided	Bridge Street and S Water Street, Providence, RI, USA	41.81855	-71.4016	41.8170519	-71.401324	168.33236047277524	Not yet determined	distance greater than 100m
221	916084	FRIENDSHIP ST	POINT ST	Stop Signs	intersection	Two-Way , Not Divided	Friendship Street and Point Street, Providence, RI, USA	41.81688	-71.41439	41.8143034	-71.4168102	350.1245710975685	Not yet determined	distance greater than 100m
226	916261	NORTH MAIN ST	N MAIN ST	No Controls	route	Two-Way , Not Divided	North Main Street and N Main Street, Providence, RI, USA	41.83642	-71.40964	41.9621073	-71.7012283	27919.09619765506	Not yet determined	distance greater than 100m
227	916263	WESTMINSTER ST	MANTON AVE	No Controls	route	Two-Way , Not Divided	Westminster Street and Manton Ave, Providence, RI, USA	41.81675	-71.44311	41.8257788	-71.457019	1530.2297217191524	Not yet determined	distance greater than 100m
230	916406	EXCHANGE TER	DORRANCE ST	Pavement Markings	route	Two-Way , Not Divided	Exchange Ter and Dorrance Street, Providence, RI, USA	41.82487	-71.41426	41.823088	-71.4109838	336.4727696483417	Not yet determined	distance greater than 100m
236	916711	SMITH ST	SMITH ST	No Controls	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Smith Street and Smith Street, Providence, RI, USA	41.83667	-71.43148	41.8386857	-71.435908800000007	430.4273317123995	Raw	distance greater than 100m
239	916825	NIANTIC AVE EXIT	NIANTIC AVE	Unknown	route	Two-Way , Not Divided	Niantic Ave Exit and Niantic Ave, Providence, RI, USA	41.80062	-71.43923	41.7952684	-71.4388339	596.6436040411303	Not yet determined	distance greater than 100m
254	917337	Hartford Ave	HARTFORD AVE	No Controls	route	Two-Way , Not Divided	Hartford Ave and Hartford Ave, Providence, RI, USA	41.81961	-71.466	41.8294288	-71.5356901	5883.510774952302	Not yet determined	distance greater than 100m
255	917364	1215 NORTH MAIN ST	SMITHFIELD AVE	Traffic Control Signal	premise	Two-Way, Divided, Positive Median Barrier	1215 North Main Street, Providence, RI, USA	41.84391	-71.40687	41.8532263	-71.4007141	1155.9077148952306	Not yet determined	distance greater than 100m
263	917646	HARTFORD AVE	HARTFORD AVE	No Controls	route	Unknown	Hartford Ave and Hartford Ave, Providence, RI, USA	41.81858	-71.45874	41.8294288	-71.5356901	6496.62610108311	Raw	distance greater than 100m
266	917666	SMITH ST	SMITH ST	No Controls	route	Two-Way , Not Divided	Smith Street and Smith Street, Providence, RI, USA	41.83266	-71.4192	41.8386857	-71.435908800000007	1539.6273492143457	Raw	distance greater than 100m
274	917949	broad street	BROAD ST	No Controls	route	Two-Way, Divided, Unprotected (painted>4feet) Medium	Broad Street and Broad Street, Providence, RI, USA	41.79942	-71.41617	41.8004646	-71.4174197	155.81186262683062	Not yet determined	distance greater than 100m
281	918231	GEORGE M. COHEN BLVD	GEORGE M. COHEN BLVD	No Controls	route	Two-Way , Not Divided	George M. Cohen Blvd and George M. Cohen Blvd, Providence, RI, USA	41.81905	-71.39407	41.8187546	-71.3960032	163.71768084113464	Raw	distance greater than 100m
