row_number,crash_report_id,best_coords,geometry
4,892777,Raw,"c(-71.40636, -71.4101636, 41.79151, 41.7945838)"
5,892838,Not yet determined,"c(-71.42041, -71.419539, 41.85302, 41.8474982)"
12,893107,Not yet determined,"c(-71.42219, -71.4238138, 41.79067, 41.7922996)"
13,893182,Not yet determined,"c(-71.42418, -71.4224174, 41.80416, 41.804229)"
22,893472,Not yet determined,"c(-71.41439, -71.4113407, 41.8248, 41.8233534)"
29,893784,Not yet determined,"c(-71.40727, -71.4135956, 41.8108, 41.8099609)"
31,893835,Raw,"c(-71.41282, -71.419539, 41.83672, 41.8474982)"
39,895286,Not yet determined,"c(-71.41297, -71.4101424, 41.82902, 41.8285609)"
48,895575,Not yet determined,"c(-71.41549, -71.4153893, 41.82683, 41.8258972)"
55,895744,Not yet determined,"c(-71.41095, -71.5342119, 41.8323, 42.0140642)"
60,895854,Raw,"c(-71.40818, -71.700964, 41.84127, 41.9595187)"
70,896360,Not yet determined,"c(-71.42293, -71.3504737, 41.81672, 41.8978375)"
74,896455,Not yet determined,"c(-71.40088, -71.4005461, 41.82983, 41.8284694)"
75,896458,Not yet determined,"c(-71.42546, -71.4242155, 41.8245, 41.8234078)"
76,896463,Raw,"c(-71.43084, -71.4649957, 41.84762, 41.8715442)"
79,896511,Not yet determined,"c(-71.41527, -71.4134258, 41.82577, 41.8263996)"
81,896566,Not yet determined,"c(-71.41478, -71.4160635, 41.79828, 41.7979139)"
84,896656,Not yet determined,"c(-71.41541, -71.4128343, 41.82745, 41.8239891)"
85,896713,Not yet determined,"c(-71.40153, -71.4039536, 41.81839, 41.8202174)"
87,896908,Raw,"c(-71.42131, -71.4101636, 41.81414, 41.7945838)"
90,897051,Not yet determined,"c(-71.41587, -71.412506, 41.81638, 41.8188374)"
91,897103,Not yet determined,"c(-71.40731, -71.4135956, 41.81079, 41.8099609)"
95,897252,Raw,"c(-71.40717, -71.4101636, 41.79217, 41.7945838)"
97,897322,Not yet determined,"c(-71.58683, -71.4048346, 41.80523, 41.8176778)"
98,897328,Not yet determined,"c(-71.44098, -71.4401367, 41.80462, 41.8000436)"
100,898461,Not yet determined,"c(-71.42565, -71.4241584, 41.83521, 41.8356376)"
101,898479,Not yet determined,"c(-71.41404, -71.4127397, 41.8248, 41.825713)"
104,898635,Not yet determined,"c(-71.43678, -71.4388016, 41.83017, 41.8482011)"
109,898763,Not yet determined,"c(-71.41549, -71.4138321, 41.79888, 41.7992087)"
113,898988,Not yet determined,"c(-71.44856, -71.5150798, 41.81713, 41.8282813)"
117,899085,Not yet determined,"c(-71.41131, -71.4110637, 41.83321, 41.8300387)"
120,899211,Not yet determined,"c(-71.32858, -71.4379021, 41.50747, 41.8259072)"
124,899461,Not yet determined,"c(-71.42435, -71.4257154, 41.79758, 41.7971966)"
143,900034,Not yet determined,"c(-71.4125, -71.4125943, 41.81007, 41.8110921)"
167,901587,Not yet determined,"c(-71.41276, -71.4128343, 41.82867, 41.8239891)"
169,901707,Not yet determined,"c(-71.40706, -71.4084855, 41.81189, 41.8113828)"
188,904392,Not yet determined,"c(-71.42547, -71.4229658, 41.80222, 41.7920613)"
192,904494,Not yet determined,"c(-71.42352, -71.424995, 41.79634, 41.795887)"
203,904807,Raw,"c(-71.39507, -71.3943363, 41.78621, 41.7839875)"
209,906193,Raw,"c(-71.42018, -71.4101636, 41.80704, 41.7945838)"
212,906287,Not yet determined,"c(-71.42762, -71.4285391, 41.82021, 41.8223667)"
213,906318,Raw,"c(-71.44633, -71.4643452, 41.81501, 41.8067161)"
219,906500,Not yet determined,"c(-71.41885, -71.391257, 41.82021, 41.7939064)"
220,906499,Not yet determined,"c(-71.45341, -71.5357282, 41.81761, 41.829423)"
226,906720,Not yet determined,"c(-71.40904, -71.7012105, 41.83921, 41.9621081)"
230,906838,Not yet determined,"c(-71.40564, -71.7012105, 41.84578, 41.9621081)"
236,907020,Not yet determined,"c(-71.42115, -71.4101636, 41.81443, 41.7945838)"
