CrashReportId,ReportNumber,CrashDate,CrashTime,Collision Type,CountPedestrian,CountBicycle,Scooter,Wheel Chair,NumberofVehicles,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberOfLanes,Latitude,Longitude
893158,2023-00029008,20-Apr-23,12:05:00 PM,Pedestrian,1,,,,1,W RIVER ST,CHARLES ST ,Tyler Calandra,418,20-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.83975,-71.41628
893182,2023-00029131,20-Apr-23,7:33:00 PM,Bicycle,,1,,,1,DABOLL ST,UPDIKE ST ,Raymond Criner,340,20-Apr-23,"Two-Way , Not Divided",Dry,Dusk,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,,41.80416,-71.42418
893107,2023-00028557,18-Apr-23,4:46:00 PM,Pedestrian,1,,,,1,705 ELMWOOD AVE,LONGFELLOW ST ,Raymond Criner,340,18-Apr-23,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,,41.79067,-71.42219
893070,2023-00028232,17-Apr-23,1:07:00 PM,Bicycle,,1,,,1,COLLEGE ST,S MAIN ST ,Raymond Criner,340,17-Apr-23,"Two-Way , Not Divided",Wet,Daylight,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,4,1,Complains Of Pain,,41.82578,-71.40745
893010,2023-00027576,15-Apr-23,1:44:00 PM,Pedestrian,1,,X,,1,FOREST ST,CAMP ST ,Ptlm. Castagliuolo,351,15-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Non-Incapacitating,,41.84377,-71.40141
893000,2023-00027404,14-Apr-23,11:06:00 PM,Pedestrian,1,,,,1,FILLMORE ST,ADMIRAL ST ,Raleek Byfield,375,15-Apr-23,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Non-Incapacitating,,41.84081,-71.41986
892888,2023-00026471,12-Apr-23,9:43:00 AM,Pedestrian,1,,,,1,880 BROAD ST,OXFORD ST ,Joshua Cascione,225,12-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,5,1,Complains Of Pain,,41.80019,-71.41713
892862,2023-00026079,11-Apr-23,10:31:00 PM,Pedestrian,1,,,,1,BROADWAY,KNIGHT ST ,J Heeder,557,11-Apr-23,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Complains Of Pain,,41.81979,-71.42938
892838,2023-00025992,10-Apr-23,4:07:00 PM,Bicycle,,1,,,1,CHARLES ST.,CHARLES ST ,J Heeder,557,10-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,,41.85302,-71.42041
892777,2023-00025419,08-Apr-23,2:07:00 AM,Pedestrian,1,,,,1,BROAD ST,BROAD ST ,Raleek Byfield,375,08-Apr-23,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,3,1,Complains Of Pain,,41.79151,-71.40636
892716,2023-00024944,06-Apr-23,1:12:00 PM,Pedestrian,1,,,,1,PLEASANT ST,DAGGETT CT ,Joshua Cascione,225,06-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.83923,-71.40849
892611,2023-00024426,04-Apr-23,3:37:00 PM,Pedestrian,1,,,,1,GANO ST,ANGELL ST ,Donald Castigliego,287,04-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Non-Incapacitating,,41.82957,-71.39097
892461,2023-00023689,01-Apr-23,10:28:00 PM,Pedestrian,1,,,,1,Providence Place,Harris Ave,Kristen Barth,247,01-Apr-23,One-Way Trafficway,Dry,Dark - Not Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,,41.82779,-71.41904
892328,2023-00022442,28-Mar-23,11:39:00 PM,Pedestrian,1,,,,1,ATWELLS AVE,ACADEMY AVE ,Kristen Barth,247,28-Mar-23,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Wet,Dark - Lighted,Rain,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,3,1,Incapacitating,,41.82478,-71.44342
