CrashReportId,ReportNumber,CrashDate,CrashTime,Collision Type,CountPedestrian,CountBicycle,Scooter,Wheel Chair,NumberofVehicles,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberOfLanes,Latitude,Longitude
892461,2023-00023689,2023-04-01,22:28,Pedestrian,1,,,,1,Providence Place,Harris Ave,Kristen Barth,247,1-Apr-23,One-Way Trafficway,Dry,Dark - Not Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,2,1,Complains Of Pain,,41.82779,-71.41904
892611,2023-00024426,2023-04-04,15:37,Pedestrian,1,,,,1,GANO ST,ANGELL ST ,Donald Castigliego,287,4-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Non-Incapacitating,,41.82957,-71.39097
892716,2023-00024944,2023-04-06,13:12,Pedestrian,1,,,,1,PLEASANT ST,DAGGETT CT ,Joshua Cascione,225,6-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.83923,-71.40849
892777,2023-00025419,2023-04-08,2:07,Pedestrian,1,,,,1,BROAD ST,BROAD ST ,Raleek Byfield,375,8-Apr-23,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,3,1,Complains Of Pain,,41.79151,-71.40636
892838,2023-00025992,2023-04-10,16:07,Bicycle,,1,,,1,CHARLES ST.,CHARLES ST ,J Heeder,557,10-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,,41.85302,-71.42041
892862,2023-00026079,2023-04-11,22:31,Pedestrian,1,,,,1,BROADWAY,KNIGHT ST ,J Heeder,557,11-Apr-23,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,2,1,Complains Of Pain,,41.81979,-71.42938
892888,2023-00026471,2023-04-12,9:43,Pedestrian,1,,,,1,880 BROAD ST,OXFORD ST ,Joshua Cascione,225,12-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,5,1,Complains Of Pain,,41.80019,-71.41713
892906,2023-00026626,2023-04-12,18:53,Pedestrian,1,,,,2,Broad St,Byfield St,J Heeder,557,12-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,5,3,Non-Incapacitating,,41.79442,-71.40988
893000,2023-00027404,2023-04-14,23:06,Pedestrian,1,,,,1,FILLMORE ST,ADMIRAL ST ,Raleek Byfield,375,15-Apr-23,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,2,1,Non-Incapacitating,,41.84081,-71.41986
893010,2023-00027576,2023-04-15,13:44,Pedestrian,1,,X,,1,FOREST ST,CAMP ST ,Ptlm. Castagliuolo,351,15-Apr-23,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Non-Incapacitating,,41.84377,-71.40141
