CrashReportId,ReportNumber,CrashDate,CrashTime,TypeOfCollision,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberofVehicles,NumberOfLanes,Latitude,Longitude
925618,2025-00049863,2025-06-30,12:08:00 AM,Vehicle - Vehicle,,61 LABAN STREET,,Angel Garcia,656,2025-06-30,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, Driver Left Scene",No Controls,4,0,Unknown,3,,,
925622,2025-00049921,2025-06-30,6:31:00 AM,Vehicle - Parked Vehicle,,94 SASSAFRAS ST,SAVINGS ST,Hansel Ventura,570,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,2,0,No Injury,2,,41.79392,-71.41374
925624,2025-00049946,2025-06-30,8:15:00 AM,Vehicle - Vehicle,,CHACE AVENUE,GREATON DRIVE,Joseph Madeira,552,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,4,0,No Injury,2,2,41.83149,-71.41766
925626,2025-00049919,2025-06-30,6:27:00 AM,Vehicle - Vehicle,,TOCKWOTTON ST,S MAIN ST,Michael Cifuentes,330,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,Stop Signs,3,0,No Injury,2,,41.81692,-71.4001
925627,2025-00049951,2025-06-30,9:12:00 AM,Vehicle - Vehicle,,VALLEY ST,HEMLOCK ST,Damaris Sanchez,566,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Stop Signs,2,0,No Injury,2,,41.83044,-71.43051
925630,2025-00049995,2025-06-30,11:58:00 AM,Vehicle - Vehicle,,MARLBOROUGH AVE,BROAD ST,Hansel Ventura,570,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",Stop Signs,2,0,No Injury,2,,41.80573,-71.41976
925636,2025-00050035,2025-06-30,3:14:00 PM,Vehicle - Vehicle,,ADMIRAL STREET,BURNS ST,Arthur Lima,126,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,4,0,No Injury,2,,41.85375,-71.44648
925637,2025-00050037,2025-06-30,3:18:00 PM,Vehicle - Object,,LA VAUGHN ST,ATWELLS AVE,Peyton Ginolfi,657,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Head-On (Front - to - Front),No,No Controls,0,0,Unknown,1,,41.82428,-71.45017
925638,2025-00050067,2025-06-30,4:30:00 PM,Vehicle - Vehicle,,557 Broad Street,PARKIS AVE,Cassidy Simanski,132,2025-06-30,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,3,0,No Injury,2,,41.80931,-71.42089
925639,2025-00050083,2025-06-30,5:51:00 PM,Vehicle - Parked Vehicle,,593 EDDY ST,,Raleek Byfield,375,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear - to - Rear,No,No Controls,5,0,No Injury,2,,,
925640,2025-00050086,2025-06-30,5:39:00 PM,Vehicle - Vehicle,,STEEPLE ST,CANAL ST,Stephanie Teran,625,2025-06-30,One-Way Trafficway,Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,No Controls,7,0,No Injury,2,,41.82722,-71.40977
925642,2025-00050099,2025-06-30,6:21:00 PM,Vehicle - Vehicle,,CRANSTON ST,HUNTINGTON AVE,Cory Nicholls,609,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,Traffic Control Signal,4,0,No Injury,2,,41.80373,-71.43926
925643,2025-00050101,2025-06-30,6:30:00 PM,Vehicle - Vehicle,,Washington St,EMPIRE ST,Matthew Kelley,186,2025-06-30,"Two-Way , Not Divided",Dry,Dusk,Clear,Angle (Front - to - Side) Right Angle (Includes Broadside),No,Traffic Control Signal,5,0,No Injury,2,,41.82182,-71.41645
925644,2025-00050036,2025-06-30,3:17:00 PM,Vehicle - Vehicle,,365 Charles St.,EXIT  (RT ),Mark Roman,120,2025-06-30,"Two-Way , Not Divided",Dry,Daylight,Clear,Other,No,No Controls,3,0,No Injury,2,,41.84185,-71.41775
925647,2025-00050023,2025-06-30,10:40:00 AM,Vehicle - Parked Vehicle,,ATWELLS AVE,,Jason Clancy,999,2025-07-01,Unknown,Dry,Daylight,Clear,Unknown,No,Unknown,2,1,Complains Of Pain,2,,,
