CrashReportId,ReportNumber,CrashDate,CrashTime,Collision Type,StreetOrHighway,NearestIntersection,Officer,Badge,ReportDate,TypeOfRoadway,RoadSurfaceCondition,LightCondition,WeatherCondition,MannerofImpact,HitAndRun,TrafficControl,PersonCount,InjuryCount,MostSeriousInjury,NumberOfLanes,Latitude,Longitude,CountPedestrian,CountBicycle,Scooter,Wheel Chair,NumberofVehicles
920089,2025-00000385,2-Jan-25,8:11,Pedestrian,TERMINAL ROAD,NEW YORK AVE ,Jason Clancy,999,3-Jan-25,Unknown,Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",Unknown,3,0,No Injury,,41.79613,-71.39506,1,,,,1
920108,2025-00000517,2-Jan-25,23:14,Pedestrian,325 washington st ,,Patrolwoman Viera,678,4-Jan-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,,,,1,,,,1
920134,2025-00001197,5-Jan-25,18:25,Pedestrian,FOUNTAIN ST,FRANCIS ST ,J Heeder,557,5-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Traffic Control Signal,2,2,Complains Of Pain,,41.82491,-71.41471,2,,,,1
920169,2025-00001310,5-Jan-25,17:15,Bicycle,PLAINFIELD ST,RALPH ST ,Jason Clancy,999,7-Jan-25,Unknown,Dry,Dark - Unknown Lighting,Clear,"Sidwswipe, Opposite Direction",No,Unknown,3,0,Unknown,,41.81345,-71.45352,,1,,,1
920181,2025-00001639,7-Jan-25,16:04,Pedestrian,WICKENDEN ST,BROOK ST ,Raymond Criner,340,7-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,,41.81948,-71.39826,1,,,,1
920205,2025-00001633,7-Jan-25,15:41,Other,PRAIRIE AVE ,PAVILION AVE ,Nicolas Lafazia,369,8-Jan-25,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Unknown,"Yes, M/V and Driver Left Scene",No Controls,2,0,No Injury,,41.79534,-71.41045,,,,,2
920208,2025-00001963,7-Jan-25,15:05,Other,593 eddy st,,Jonathyn Pirolli,385,8-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,2,0,Unknown,,,,,,,,2
920198,2025-00001906,8-Jan-25,16:56,Bicycle,CANAL ST,MILL ST ,Raymond Criner,340,8-Jan-25,One-Way Trafficway,Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,2,1,Complains Of Pain,,41.8323,-71.41095,,1,,,1
920213,2025-00001825,8-Jan-25,11:51,Pedestrian,WESTMINSTER ST,EMPIRE ST ,Michael Baldassare,568,9-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Traffic Control Signal,1,1,Incapacitating,,41.82097,-71.41532,1,,,,1
920223,2025-00001861,8-Jan-25,11:30,Pedestrian,EMPIRE ST,,Jason Clancy,999,9-Jan-25,"Two-Way, Divided, Unprotected (painted>4feet) Medium",Dry,Daylight,Clear,Unknown,No,Unknown,3,0,Unknown,,,,1,,,,1
920278,2025-00002416,10-Jan-25,16:38,Pedestrian,GREENWICH ST,BUCKLIN ST ,J Heeder,557,10-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Rear End(Front-to-Rear),No,No Controls,3,1,Complains Of Pain,,41.80237,-71.4261,1,,,,1
920320,2025-00002819,12-Jan-25,11:56,Pedestrian,HEATH ST,HARTFORD AVE,Raleek Byfield,375,12-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,4,2,Complains Of Pain,,41.81719,-71.44991,2,,,,1
920328,2025-00002867,12-Jan-25,16:03,Other,45 PLEASANT VALLEY PRKWY,,Ian Quinn,102,12-Jan-25,Unknown,Unknown,Daylight,Clear,"Sidwswipe, Opposite Direction","Yes, M/V and Driver Left Scene",No Controls,3,0,Unknown,,,,,,,,2
920331,2025-00002911,12-Jan-25,9:10,Pedestrian,Allens Ave,ALLENS AVE ,Tyler Calandra,418,12-Jan-25,"Two-Way , Not Divided",Dry,Dark - Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,No Controls,3,1,Complains Of Pain,,41.79296,-71.3973,1,,,,1
920371,2025-00003243,14-Jan-25,8:39,Pedestrian,SMITHFIELD AVE,SMITHFIELD AVE ,Ptlm. Castagliuolo,351,14-Jan-25,"Two-Way, Divided, Positive Median Barrier",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Traffic Control Signal,4,1,Non-Incapacitating,,41.85501,-71.40489,1,,,,1
920421,2025-00003413,14-Jan-25,18:27,Pedestrian,BROADWAY,SERVICE ROAD 7 ,Raymond Criner,340,14-Jan-25,One-Way Trafficway,Dry,Dark - Not Lighted,Clear,Not a Collision Between Two Motor Vehicles in Transport,No,Pavement Markings,3,1,Complains Of Pain,,41.82178,-71.4208,1,,,,1
920438,2025-00003529,15-Jan-25,9:00,Pedestrian,ACADEMY AVE,SMITH ST ,Gustavo Genao,135,15-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Angle (Front - to - Side) Same Direction,No,Traffic Control Signal,3,1,Complains Of Pain,,41.84258,-71.44515,1,,,,1
920460,2025-00003631,15-Jan-25,16:00,Pedestrian,RANDALL ST,N MAIN ST ,Patrick Hourahan,243,15-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",Yield Signs,1,1,Complains Of Pain,,41.83766,-71.4097,1,,,,1
920668,2025-00004118,15-Jan-25,11:15,Pedestrian,ANGELL ST,BROOK ST ,Quincy Griffin,970,21-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,Not a Collision Between Two Motor Vehicles in Transport,"Yes, M/V and Driver Left Scene",No Controls,1,1,Complains Of Pain,,41.82821,-71.39947,1,,,,1
920670,2025-00004160,17-Jan-25,7:20,Other,SMITH ST,ACADEMY AVE ,Quincy Griffin,970,21-Jan-25,"Two-Way , Not Divided",Dry,Daylight,Clear,"Sideswipe, Same Direction","Yes, M/V and Driver Left Scene",No Controls,1,0,Unknown,,41.84271,-71.44545,,1,,,1
920594,2025-00004411,18-Jan-25,17:43,Pedestrian,10 MEMORIAL BLVD,FRANCIS ST ,Cassidy Simanski,132,18-Jan-25,"Two-Way, Divided, Positive Median Barrier",Wet,Dark - Lighted,Rain,Other,No,No Controls,2,1,Complains Of Pain,,41.82618,-71.41443,1,,,,1
